,sg_uf,dis_name,YEAR,cases,pop,pop_100k,mor_100k,mor_num,cnr_per 100k pop,res_cases,cured,t_com,died,fail,treat_death,p_cov,def,other,t_out,not_eva,fail_not_val_t_out,beds,fhs,fhs_sc,abandon,f_treated,has_prison,k50,pct_idc,temp,humi,rain
86,9,Chandpur,2013,3258,"2,544,694",25.44694,51,1297.79394,80.25,2042,1979,0,87.75220372,2,55,0.626764886,0,6,6,0,8,524,0.823674674,0.823674674,0,0.626764886,0,0.9847,7.86E-05,25.4189893,79.33585332,5.440688448
87,9,Chandpur,2014,3402,"2,560,264",25.60264,51,1305.73464,130.22,2096,2027,7,77.90839695,8,48,0.616108172,3,4,4,6,18,524,0.818665575,0.818665575,0.000881834,0.616108172,0,0.9847,0.000312468,25.66991415,78.94482451,4.990848271
88,9,Chandpur,2015,3439,"2,575,929",25.75929,45,1159.16805,131.99,2097,2029,1,81.99809251,11,50,0.609770282,3,1,1,2,14,524,0.813687023,0.813687023,0.000872347,0.609770282,0,0.9847,0.00042703,25.60096658,79.62458487,6.897353985
89,9,Chandpur,2016,3729,"2,591,690",25.9169,40,1036.676,143.54,2243,2183,0,63.17521177,18,38,0.601501743,2,0,0,2,20,524,0.808738699,0.808738699,0.000536337,0.601501743,0,0.9847,0.000694528,26.36004656,79.93203559,5.627207498
90,9,Chandpur,2017,4094,"2,607,548",26.07548,36,938.71728,156.7,2647,2572,0,94.34605213,9,61,0.646555936,1,0,0,4,13,524,0.803820294,0.803820294,0.00024426,0.646555936,0,0.9847,0.000345152,26.02284845,80.19769682,7.766825232
91,10,Chittagong,2008,10956,8049195,80.49195,51,4105.08945,84.59,6815,6111,109,242.7521643,28,151,0.622033589,112,196,196,108,332,2424,1.204592509,1.204592509,0.010222709,0.622033589,1,0.9847,0.000347861,25.49468897,78.53437719,8.794290856
92,10,Chittagong,2009,11500,8221290,82.2129,51,4192.8579,87.42,7224,6679,60,261.0741971,21,164,0.628173913,82,206,206,12,239,2424,1.179376959,1.179376959,0.007130435,0.628173913,1,0.9847,0.000255434,25.85571183,79.66062807,8.882556393
93,10,Chittagong,2010,11033,8397066,83.97066,43,3610.73838,"81,92",6866,6308,68,231.3941159,25,144,0.622314874,84,230,230,7,262,2424,1.154689031,1.154689031,0.007613523,0.622314874,1,0.9847,0.000297723,26.15151534,79.90407801,7.184902604
94,10,Chittagong,2011,10546,8576599,85.76599,46,3945.23554,73.04,6254,5709,68,237.76559,33,141,0.593021051,64,210,210,29,272,2424,1.130518053,1.130518053,0.006068652,0.593021051,1,0.9847,0.000384768,25.91011475,80.16039229,9.235779002
95,10,Chittagong,2012,11659,"8,024,931",80.24931,45,3611.21895,84,6774,6259,55,306.362858,35,178,0.581010378,84,148,148,15,198,2424,1.208234688,1.208234688,0.007204735,0.581010378,1,0.9847,0.000436141,25.15387551,80.83506786,10.22542908
96,10,Chittagong,2013,12124,"8,138,070",81.3807,51,4150.4157,79.24,6449,6052,36,372.2363157,37,198,0.531920158,41,53,53,32,122,2424,1.191437282,1.191437282,0.003381722,0.531920158,1,0.9847,0.000454653,25.56321574,80.66418928,7.493233836
97,10,Chittagong,2014,12466,"8,252,805",82.52805,51,4208.93055,145.27,6301,5953,27,290.8271703,47,147,0.505454837,55,52,52,20,119,2424,1.17487327,1.17487327,0.004412001,0.505454837,1,0.9847,0.000569503,25.95734847,78.82071559,8.73338341
98,10,Chittagong,2015,13129,"8,369,156",83.69156,45,3766.1202,154.56,6917,6553,44,351.1442822,46,185,0.52684896,53,20,20,16,82,2424,1.158539762,1.158539762,0.004036865,0.52684896,1,0.9847,0.000549637,25.96210234,78.5114894,10.47518
99,10,Chittagong,2016,14011,"8,487,149",84.87149,40,3394.8596,163.66,7560,7307,0,298.3824074,49,161,0.539576047,19,19,19,5,73,2424,1.142433107,1.142433107,0.001356077,0.539576047,1,0.9847,0.000577343,26.46759094,79.75158089,6.969365617
